Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
2.51	3.24541	2.74374	0	-12.2777	8.22408	0	14.4477	-4.61116	0	
2.52	3.25883	2.75187	0	-12.3367	8.25578	0	14.5075	-4.63536	0	
2.53	3.27225	2.76001	0	-12.3957	8.28748	0	14.5674	-4.65956	0	
2.54	3.28567	2.76814	0	-12.4547	8.31917	0	14.6272	-4.68377	0	
2.55	3.29909	2.77627	0	-12.5137	8.35087	0	14.687	-4.70797	0	
2.56	3.31251	2.78441	0	-12.5727	8.38257	0	14.7469	-4.73217	0	
2.57	3.32593	2.79254	0	-12.6317	8.41426	0	14.8067	-4.75637	0	
2.58	3.33935	2.80067	0	-12.6907	8.44596	0	14.8665	-4.78058	0	
2.59	3.35277	2.80881	0	-12.7497	8.47766	0	14.9263	-4.80478	0	
2.6	3.36619	2.81694	0	-12.8087	8.50935	0	14.9862	-4.82898	0	
2.61	3.37961	2.82507	0	-12.8677	8.54105	0	15.046	-4.85318	0	
2.62	3.39303	2.8332	0	-12.9266	8.57274	0	15.1058	-4.87738	0	
2.63	3.40645	2.84133	0	-12.9856	8.60444	0	15.1656	-4.90158	0	
2.64	3.41987	2.84946	0	-13.0446	8.63613	0	15.2255	-4.92578	0	
2.65	3.43329	2.8576	0	-13.1036	8.66783	0	15.2853	-4.94998	0	
2.66	3.44671	2.86573	0	-13.1626	8.69953	0	15.3451	-4.97418	0	
2.67	3.46013	2.87386	0	-13.2216	8.73122	0	15.4049	-4.99838	0	
2.68	3.47355	2.88199	0	-13.2806	8.76291	0	15.4647	-5.02258	0	
2.69	3.48697	2.89012	0	-13.3396	8.79461	0	15.5246	-5.04677	0	
2.7	3.50039	2.89825	0	-13.3986	8.8263	0	15.5844	-5.07097	0	
2.71	3.51381	2.90638	0	-13.4575	8.858	0	15.6442	-5.09517	0	
2.72	3.52724	2.91451	0	-13.5165	8.88969	0	15.704	-5.11937	0	
2.73	3.54066	2.92264	0	-13.5755	8.92139	0	15.7638	-5.14356	0	
2.74	3.55408	2.93077	0	-13.6345	8.95308	0	15.8236	-5.16776	0	
2.75	3.5675	2.9389	0	-13.6935	8.98477	0	15.8835	-5.19196	0	
2.76	3.58092	2.94703	0	-13.7525	9.01647	0	15.9433	-5.21615	0	
2.77	3.59434	2.95516	0	-13.8115	9.04816	0	16.0031	-5.24035	0	
2.78	3.60777	2.96329	0	-13.8704	9.07985	0	16.0629	-5.26454	0	
2.79	3.62119	2.97142	0	-13.9294	9.11155	0	16.1227	-5.28874	0	
2.8	3.63461	2.97955	0	-13.9884	9.14324	0	16.1825	-5.31293	0	
2.81	3.64803	2.98768	0	-14.0474	9.17493	0	16.2424	-5.33713	0	
2.82	3.66146	2.9958	0	-14.1064	9.20663	0	16.3022	-5.36132	0	
2.83	3.67488	3.00393	0	-14.1654	9.23832	0	16.362	-5.38552	0	
2.84	3.6883	3.01206	0	-14.2243	9.27001	0	16.4218	-5.40971	0	
2.85	3.70172	3.02019	0	-14.2833	9.3017	0	16.4816	-5.4339	0	
2.86	3.71515	3.02832	0	-14.3423	9.3334	0	16.5414	-5.4581	0	
2.87	3.72857	3.03645	0	-14.4013	9.36509	0	16.6012	-5.48229	0	
2.88	3.74199	3.04457	0	-14.4603	9.39678	0	16.661	-5.50648	0	
2.89	3.75541	3.0527	0	-14.5193	9.42847	0	16.7209	-5.53068	0	
2.9	3.76884	3.06083	0	-14.5782	9.46017	0	16.7807	-5.55487	0	
2.91	3.78226	3.06896	0	-14.6372	9.49186	0	16.8405	-5.57906	0	
2.92	3.79568	3.07708	0	-14.6962	9.52355	0	16.9003	-5.60325	0	
2.93	3.80911	3.08521	0	-14.7552	9.55524	0	16.9601	-5.62744	0	
2.94	3.82253	3.09334	0	-14.8142	9.58693	0	17.0199	-5.65163	0	
2.95	3.83596	3.10146	0	-14.8731	9.61862	0	17.0797	-5.67582	0	
2.96	3.84938	3.10959	0	-14.9321	9.65031	0	17.1395	-5.70001	0	
2.97	3.8628	3.11772	0	-14.9911	9.682	0	17.1993	-5.72421	0	
2.98	3.87623	3.12584	0	-15.0501	9.7137	0	17.2591	-5.7484	0	
2.99	3.88965	3.13397	0	-15.109	9.74539	0	17.3189	-5.77259	0	
3	3.90307	3.1421	0	-15.168	9.77708	0	17.3788	-5.79677	0	
